City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Bharatpur,IN,2021-10-12 19:26:36,27.2167,77.4833,82.63,38,0,4.09
259,Semnan,IR,2021-10-12 19:26:36,35.5729,53.3971,58.5,25,67,1.66
260,Palembang,ID,2021-10-12 19:26:36,-2.9167,104.7458,76.55,92,100,3.22
261,Muros,ES,2021-10-12 19:26:37,42.7762,-9.0603,68.5,75,6,3.89
262,Bakchar,RU,2021-10-12 19:26:37,57.0186,82.0711,25.63,70,19,2.91
263,Esso,RU,2021-10-12 19:26:37,55.9333,158.7,24.04,94,98,5.97
264,Juybar,IR,2021-10-12 19:26:38,36.6412,52.9124,57.36,69,55,3.8
265,Qaanaaq,GL,2021-10-12 19:26:38,77.484,-69.3632,29.23,94,99,5.66
266,Bilibino,RU,2021-10-12 19:21:50,68.0546,166.4372,-9.45,97,12,4.43
267,Leningradskiy,RU,2021-10-12 19:26:38,69.3833,178.4167,20.35,96,100,5.86
268,Vestmannaeyjar,IS,2021-10-12 19:26:39,63.4427,-20.2734,47.68,96,100,19.73
269,Mount Isa,AU,2021-10-12 19:26:39,-20.7333,139.5,67.77,77,75,6.91
270,Marabba,SD,2021-10-12 19:26:39,12.35,32.1833,80.2,71,58,14.36
271,Sao Joao Da Barra,BR,2021-10-12 19:26:39,-21.6403,-41.0511,68.09,87,97,15.82
272,Lulea,SE,2021-10-12 19:26:40,65.5842,22.1547,37.47,93,0,2.3
273,Hofn,IS,2021-10-12 19:26:39,64.2539,-15.2082,41.83,92,100,12.66
274,Nome,US,2021-10-12 19:26:40,64.5011,-165.4064,35.67,87,90,9.22
275,Lapua,FI,2021-10-12 19:26:40,62.9693,23.0088,42.51,93,93,2.62
276,San Angelo,US,2021-10-12 19:26:41,31.4638,-100.437,89.64,51,20,13.0
277,Aquiraz,BR,2021-10-12 19:26:41,-3.9014,-38.3911,87.22,58,93,12.37
278,Kemijarvi,FI,2021-10-12 19:26:41,66.7131,27.4306,39.85,95,100,6.13
279,Upernavik,GL,2021-10-12 19:26:42,72.7868,-56.1549,34.52,97,100,18.5
280,Baruun-Urt,MN,2021-10-12 19:26:42,46.6806,113.2792,45.28,46,100,9.51
281,San Vicente,AR,2021-10-12 19:26:42,-26.6167,-54.1333,81.23,33,0,3.15
282,Mackenzie,CA,2021-10-12 19:26:43,55.2999,-123.1698,34.02,93,90,11.5
283,Aneho,TG,2021-10-12 19:26:43,6.2333,1.6,80.8,85,93,9.8
284,Teguise,ES,2021-10-12 19:26:43,29.0605,-13.564,70.02,60,20,12.66
285,Ossora,RU,2021-10-12 19:22:42,59.2353,163.0719,31.19,83,100,3.76
286,Zhigansk,RU,2021-10-12 19:26:44,66.7697,123.3711,14.36,96,100,5.41
287,Capitan Bado,PY,2021-10-12 19:26:44,-23.2667,-55.5333,82.89,46,0,5.26
288,Urucara,BR,2021-10-12 19:26:44,-2.5364,-57.76,99.68,29,93,4.56
289,Amapa,BR,2021-10-12 19:26:45,1.0,-52.0,96.22,26,34,5.86
290,Emba,KZ,2021-10-12 19:26:45,48.8264,58.1442,46.49,51,14,8.61
291,Acapulco,MX,2021-10-12 19:26:45,16.8634,-99.8901,85.82,79,40,5.75
292,Lerwick,GB,2021-10-12 19:26:46,60.1545,-1.1494,48.2,73,100,8.05
293,Araxa,BR,2021-10-12 19:26:46,-19.5933,-46.9406,80.56,54,0,4.61
